"Course Name","Description","Career Paths Description","Course Duration","Eligibility Criteria","Learning Outcomes","Course Image","ID","Created Date","Updated Date","Owner"
"Rural Development & Panchayat Raj Studies","Explores the principles and practices of rural development, local self-governance (Panchayat Raj), and government schemes aimed at rural upliftment in India.","Prepares for roles in rural development departments, Panchayat Raj institutions, NGOs working with government projects, and positions like Gram Panchayat Adhikari, Rural Development Officer.","6 months","12th Pass or equivalent.","Understanding of rural socio-economic issues, knowledge of government policies for rural areas, and skills in community mobilization and project implementation.","https://static.wixstatic.com/media/9b0f10_107e29d5aa9b463eb96bc947db8fedad~mv2.png?originWidth=640&originHeight=640","35219f95-4650-4a73-80ee-99429a4a9958",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"ITI Electrician Trade Course","Industrial Training Institute (ITI) course specializing in electrical wiring, installation, maintenance, and repair of electrical equipment and systems.","Secures technical government jobs in electricity boards (e.g., UPPCL), public works departments (PWD), railways, and other public sector industries as Electrician, Lineman, or Technician.","2 years","10th Pass with Science and Mathematics.","Practical skills in electrical circuit design, fault diagnosis, safety procedures, and maintenance of electrical machinery and infrastructure.","https://static.wixstatic.com/media/9b0f10_9339e260566246cd8f5e93e14b9154ed~mv2.png?originWidth=640&originHeight=640","3e7d5377-a5cf-4f00-9dac-34d49f1293cb",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Teacher Eligibility Test (TET/CTET) Preparation","A targeted course for state-level Teacher Eligibility Tests (TET) and the Central Teacher Eligibility Test (CTET), essential for teaching positions in government schools.","Mandatory qualification for securing government teaching jobs in primary and upper primary schools across Uttar Pradesh and other states, as well as central government schools (KVS, NVS).","4 months","Bachelor's Degree with B.Ed. or equivalent teaching diploma.","Mastery of Child Development & Pedagogy, Language I & II, Mathematics, Environmental Studies, and Social Studies as per TET/CTET syllabus.","https://static.wixstatic.com/media/9b0f10_dae956e789634ee3a1348ffc58dfb605~mv2.png?originWidth=640&originHeight=640","49562f1f-7f66-459f-853f-5cfdb33e206c",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"SSC CGL & CHSL Combined Preparation","An intensive coaching program for Staff Selection Commission (SSC) Combined Graduate Level (CGL) and Combined Higher Secondary Level (CHSL) examinations, covering Quantitative Aptitude, Reasoning, English, and General Awareness.","Opens doors to various central government ministries, departments, and organizations for positions like Assistant Section Officer, Inspector, Auditor, Tax Assistant, Data Entry Operator, and Lower Division Clerk.","6 months","12th Pass for CHSL; Bachelor's Degree for CGL.","Enhanced problem-solving abilities, improved English comprehension, strong foundational knowledge in general studies, and effective time management for exam success.","https://static.wixstatic.com/media/9b0f10_d91221aa506347a5b8375a48874eecfa~mv2.png?originWidth=640&originHeight=640","6bc78442-dfba-4340-b4d5-65b42419ac50",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Forest Guard & Wildlife Protection Exam","Preparation for recruitment exams for Forest Guard, Forester, and other wildlife protection roles in state forest departments. Covers General Knowledge, Aptitude, and Environmental Science.","Offers government employment in the Forest Department, contributing to conservation, wildlife management, and environmental protection in state forests and national parks.","3 months","12th Pass. Physical standards and endurance tests apply.","Knowledge of Indian geography, forest ecology, wildlife conservation laws, and physical fitness required for field duties.","https://static.wixstatic.com/media/9b0f10_0ff34a4678d84270a2e906035dd22d0e~mv2.png?originWidth=640&originHeight=640","718943a2-d678-4184-bd06-a8dad1e52b31",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Paramedical Assistant Training (ANM/GNM)","A vocational training program for Auxiliary Nurse Midwifery (ANM) or General Nursing and Midwifery (GNM), focusing on basic healthcare, patient care, and community health services.","Leads to government jobs in public health centers, district hospitals, community health centers, and various state health departments as ANM/GNM nurses, crucial for rural healthcare.","2 years (ANM) / 3.5 years (GNM)","10th Pass (ANM) / 12th Pass with Science (GNM).","Skills in basic nursing care, first aid, maternal and child health, immunization, and public health awareness. Qualifies for state nursing council registration.","https://static.wixstatic.com/media/9b0f10_62777c5c47d34752bf856fc7ec62a2d6~mv2.png?originWidth=640&originHeight=640","7439dfbc-5398-4f30-94de-fe8f6c8edd4e",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Sanitation Inspector & Health Supervisor Training","Vocational training for roles in public health and sanitation, covering hygiene, waste management, disease prevention, and public health regulations.","Leads to government employment in Municipal Corporations, Urban Local Bodies, and Health Departments as Sanitation Inspectors, Health Supervisors, or Public Health Workers, crucial for community well-being.","6 months","12th Pass with Science or Diploma in Sanitary Inspector course.","Skills in conducting health inspections, managing waste disposal, implementing public health campaigns, and enforcing sanitation laws.","https://static.wixstatic.com/media/9b0f10_a63729f712e04d3ab7ed939a08437fb5~mv2.png?originWidth=640&originHeight=640","75e16f31-3e7d-4ab9-8c4a-36e446923d31",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Basic Computer Applications & Data Entry","An introductory course on essential computer skills, including MS Office (Word, Excel, PowerPoint), internet usage, and data entry techniques, crucial for administrative roles.","Qualifies individuals for government jobs as Data Entry Operators, Clerks, Junior Assistants, and other administrative support roles in various government departments and public sector undertakings.","3 months","10th Pass with basic computer literacy.","Proficiency in word processing, spreadsheet management, presentation creation, efficient internet navigation, and accurate data entry skills.","https://static.wixstatic.com/media/9b0f10_911bd144fbf24ef5a7b880fcb4d4e186~mv2.png?originWidth=640&originHeight=640","76eae5c0-dbd3-4377-8540-fc2738c8bb6d",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Railway Recruitment Board (RRB) Exams","A specialized course for various RRB examinations, including NTPC, Group D, ALP, and Technician posts. Covers Mathematics, General Intelligence & Reasoning, General Science, and General Awareness.","Secures employment in Indian Railways, one of the largest government employers, in roles such as Station Master, Goods Guard, Junior Engineer, Technician, and various operational staff positions.","4 months","10th Pass, 12th Pass, or ITI/Diploma depending on the specific post.","Strong grasp of core subjects, speed and accuracy in solving railway-specific questions, and understanding of railway operations and safety protocols.","https://static.wixstatic.com/media/9b0f10_52f91dee5240485db87b217a253ba9d2~mv2.png?originWidth=640&originHeight=640","803d7d6b-548c-4062-8390-f304dde3f176",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Civil Services Foundation Course (UPSC/UPPSC)","A comprehensive preparatory course designed for aspirants targeting the Union Public Service Commission (UPSC) Civil Services Exam and Uttar Pradesh Public Service Commission (UPPSC) exams. Covers General Studies, CSAT, and essay writing.","Prepares candidates for prestigious government roles such as IAS, IPS, IFS, PCS officers, and various Group A and B positions in central and state administration.","12 months","Bachelor's Degree in any discipline from a recognized university.","Mastery of Indian Polity, Economy, History, Geography, Science & Technology, Current Affairs, and analytical skills essential for competitive exams.","https://static.wixstatic.com/media/9b0f10_fac72de916ec41b0af7997f1e7df1567~mv2.png?originWidth=640&originHeight=640","838c138e-ecab-4247-b314-2c0658439312",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Diploma in Civil Engineering","A polytechnic diploma program covering fundamental principles of civil engineering, including construction, surveying, structural design, and project management.","Qualifies for Junior Engineer (JE) positions in government departments like PWD, Irrigation Department, Rural Engineering Services, Municipal Corporations, and various state construction agencies.","3 years","10th Pass with Science and Mathematics.","Ability to assist in civil construction projects, conduct surveys, interpret blueprints, and apply engineering principles to infrastructure development.","https://static.wixstatic.com/media/9b0f10_4432c5e92a3543e6967a65e97764a6c3~mv2.png?originWidth=640&originHeight=640","83dcd425-cf43-48ff-8414-b10794f99e14",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Banking & Financial Sector Exams (IBPS/SBI)","Focused training for Probationary Officer (PO) and Clerk examinations conducted by IBPS (Institute of Banking Personnel Selection) and SBI (State Bank of India), including mock tests and interview preparation.","Leads to secure government jobs in public sector banks as Probationary Officers, Clerks, and Specialist Officers, offering stable careers and growth opportunities.","5 months","Bachelor's Degree in any discipline.","Proficiency in Quantitative Aptitude, Reasoning, English Language, Computer Knowledge, and General Awareness with a banking focus. Develops interview skills.","https://static.wixstatic.com/media/9b0f10_7eb19f97c502445a90f2e51585041caf~mv2.png?originWidth=640&originHeight=640","94bf475a-9393-47d9-a087-57db19184349",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Uttar Pradesh Police Constable & SI Exam","Dedicated coaching for UP Police Constable and Sub-Inspector (SI) recruitment exams. Includes General Knowledge, Numerical Ability, Mental Ability, Reasoning, and Hindi.","Enables entry into the Uttar Pradesh Police Force as a Constable or Sub-Inspector, contributing to law and order and community safety within the state.","3 months","12th Pass for Constable; Bachelor's Degree for SI. Physical standards apply.","Comprehensive knowledge of UP-specific GK, improved numerical and reasoning skills, proficiency in Hindi, and preparation for physical efficiency tests.","https://static.wixstatic.com/media/9b0f10_b6948b78612d4d43b4a2c732121d9926~mv2.png?originWidth=640&originHeight=640","950d2e1a-867b-48cc-b903-0e7bd3b340fa",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Public Administration for Government Services","An advanced course focusing on the theories and practices of public administration, governance, policy formulation, and implementation in the Indian context.","Highly beneficial for aspirants of civil services (UPSC/UPPSC) as an optional subject or for those seeking roles in policy analysis, administrative reforms, and public sector management.","6 months","Bachelor's Degree in any discipline.","Deep understanding of administrative structures, ethical governance, public policy analysis, and the role of bureaucracy in national development.","https://static.wixstatic.com/media/9b0f10_8e58c0d24de04fc1adcd8c6b560c0972~mv2.png?originWidth=640&originHeight=640","984cc656-6611-4f3a-8746-4febe17778da",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
"Agriculture Extension Officer Exam Prep","Specialized coaching for state-level Agriculture Extension Officer (AEO) and similar posts in agriculture departments. Covers Agronomy, Horticulture, Soil Science, and Agricultural Economics.","Secures government jobs in state agriculture departments, Krishi Vigyan Kendras (KVKs), and related agencies, working directly with farmers to implement agricultural policies and disseminate best practices.","5 months","Bachelor's Degree in Agriculture or allied sciences.","Comprehensive knowledge of agricultural practices, crop management, pest control, soil health, and government agricultural schemes. Develops extension communication skills.","https://static.wixstatic.com/media/9b0f10_bd0d296643c647c1881606824d091b4a~mv2.png?originWidth=640&originHeight=640","cbe79d0a-d5a9-494d-8c0d-005c68cc9029",2025-09-14T15:04:15Z,2025-09-14T15:04:15Z,"9b0f10c0-1f44-41e8-978e-7134159148c8"
